INFO  2017-02-17 14:39:54,745  君悦花苑 3室1厅 248万
INFO  2017-02-17 14:39:54,745  create file function start

INFO  2017-02-17 14:39:54,746  create file function end

INFO  2017-02-17 14:39:54,746  林苑北里 2室1厅 258万
INFO  2017-02-17 14:39:54,746  create file function start

INFO  2017-02-17 14:39:54,747  create file function end

INFO  2017-02-17 14:39:54,747  国耀上河城 3室2厅 340万
INFO  2017-02-17 14:39:54,747  create file function start

INFO  2017-02-17 14:39:54,748  create file function end

INFO  2017-02-17 14:39:54,748  宾水东里 2室1厅 208万
INFO  2017-02-17 14:39:54,748  create file function start

INFO  2017-02-17 14:39:54,749  create file function end

INFO  2017-02-17 14:39:54,749  芳水河畔家园 2室1厅 225万
INFO  2017-02-17 14:39:54,749  create file function start

INFO  2017-02-17 14:39:54,752  create file function end

INFO  2017-02-17 14:39:54,752  三水南里 2室1厅 163万
INFO  2017-02-17 14:39:54,752  create file function start

INFO  2017-02-17 14:39:54,753  create file function end

INFO  2017-02-17 14:39:54,754  康桥里 1室1厅 115万
INFO  2017-02-17 14:39:54,754  create file function start

INFO  2017-02-17 14:39:54,755  create file function end

INFO  2017-02-17 14:39:54,755  朗庭园 2室1厅 303万
INFO  2017-02-17 14:39:54,755  create file function start

INFO  2017-02-17 14:39:54,756  create file function end

INFO  2017-02-17 14:39:54,756  园荫里 1室1厅 165万
INFO  2017-02-17 14:39:54,756  create file function start

INFO  2017-02-17 14:39:54,757  create file function end

INFO  2017-02-17 14:39:54,757  金研里 1室1厅 135万
INFO  2017-02-17 14:39:54,757  create file function start

INFO  2017-02-17 14:39:54,758  create file function end

INFO  2017-02-17 14:39:54,758  第六大道陆典庭园 3室1厅 325万
INFO  2017-02-17 14:39:54,758  create file function start

INFO  2017-02-17 14:39:54,759  create file function end

INFO  2017-02-17 14:39:54,759  吉利经典小区 2室2厅 交通便利 小区环境干净舒适
INFO  2017-02-17 14:39:54,760  create file function start

INFO  2017-02-17 14:39:54,760  create file function end

INFO  2017-02-17 14:39:54,760  水溪苑 1室1厅 158万
INFO  2017-02-17 14:39:54,761  create file function start

INFO  2017-02-17 14:39:54,761  create file function end

INFO  2017-02-17 14:39:54,762  来安里 2室1厅 195万
INFO  2017-02-17 14:39:54,762  create file function start

INFO  2017-02-17 14:39:54,763  create file function end

INFO  2017-02-17 14:39:54,763  居华里 2室1厅 278万
INFO  2017-02-17 14:39:54,763  create file function start

INFO  2017-02-17 14:39:54,764  create file function end

INFO  2017-02-17 14:39:54,764  安华里 2室1厅 265万
INFO  2017-02-17 14:39:54,764  create file function start

INFO  2017-02-17 14:39:54,765  create file function end

INFO  2017-02-17 14:39:54,765  清泽园 4室2厅 520万
INFO  2017-02-17 14:39:54,766  create file function start

INFO  2017-02-17 14:39:54,767  create file function end

INFO  2017-02-17 14:39:54,767  中心北里 2室2厅 170万
INFO  2017-02-17 14:39:54,767  create file function start

INFO  2017-02-17 14:39:54,768  create file function end

INFO  2017-02-17 14:39:54,768  敬重里 2室1厅 370万
INFO  2017-02-17 14:39:54,768  create file function start

INFO  2017-02-17 14:39:54,769  create file function end

INFO  2017-02-17 14:39:54,769  永康里 1室1厅 95万
INFO  2017-02-17 14:39:54,770  create file function start

INFO  2017-02-17 14:39:54,771  create file function end

INFO  2017-02-17 14:39:54,771  宇萃里 1室1厅 145万
INFO  2017-02-17 14:39:54,771  create file function start

INFO  2017-02-17 14:39:54,772  create file function end

INFO  2017-02-17 14:39:54,772  城市之光别馆公寓 1室1厅 120万
INFO  2017-02-17 14:39:54,772  create file function start

INFO  2017-02-17 14:39:54,773  create file function end

INFO  2017-02-17 14:39:54,773  众兴里 2室1厅 92万
INFO  2017-02-17 14:39:54,773  create file function start

INFO  2017-02-17 14:39:54,774  create file function end

INFO  2017-02-17 14:39:54,774  紫光苑 1室1厅 150万
INFO  2017-02-17 14:39:54,774  create file function start

INFO  2017-02-17 14:39:54,775  create file function end

INFO  2017-02-17 14:39:54,775  雅美里 1室1厅 135万
INFO  2017-02-17 14:39:54,775  create file function start

INFO  2017-02-17 14:39:54,776  create file function end

INFO  2017-02-17 14:39:54,776  罗江西里 2室1厅 150万
INFO  2017-02-17 14:39:54,776  create file function start

INFO  2017-02-17 14:39:54,777  create file function end

INFO  2017-02-17 14:39:54,778  盛和家园 2室1厅 162万
INFO  2017-02-17 14:39:54,778  create file function start

INFO  2017-02-17 14:39:54,778  create file function end

INFO  2017-02-17 14:39:54,779  乐昌里 1室0厅 180万
INFO  2017-02-17 14:39:54,779  create file function start

INFO  2017-02-17 14:39:54,780  create file function end

INFO  2017-02-17 14:39:54,780  万科新城雪溪苑 4室1厅 410万
INFO  2017-02-17 14:39:54,780  create file function start

INFO  2017-02-17 14:39:54,781  create file function end

ERROR  2017-02-17 14:39:54,781  not found
ERROR  2017-02-17 14:39:54,781  not found
ERROR  2017-02-17 14:39:54,781  not found
ERROR  2017-02-17 14:39:54,781  not found
ERROR  2017-02-17 14:39:54,781  not found
ERROR  2017-02-17 14:39:54,781  not found
ERROR  2017-02-17 14:39:54,781  not found
ERROR  2017-02-17 14:39:54,781  not found
ERROR  2017-02-17 14:39:54,781  not found
ERROR  2017-02-17 14:39:54,781  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,782  not found
ERROR  2017-02-17 14:39:54,783  not found
ERROR  2017-02-17 14:39:54,783  not found
ERROR  2017-02-17 14:39:54,783  not found
ERROR  2017-02-17 14:39:54,783  not found
ERROR  2017-02-17 14:39:54,783  not found
ERROR  2017-02-17 14:39:54,783  not found
ERROR  2017-02-17 14:39:54,783  not found
INFO  2017-02-17 16:30:46,219  proxy added
INFO  2017-02-17 16:30:46,875  proxy added
INFO  2017-02-17 16:30:52,336  page 2
INFO  2017-02-17 16:30:52,338  proxy added
INFO  2017-02-17 16:31:21,013  proxy added
INFO  2017-02-17 16:31:21,560  proxy added
INFO  2017-02-17 16:33:31,997  proxy added
INFO  2017-02-17 16:33:32,463  proxy added
INFO  2017-02-17 16:33:38,173  page 2
INFO  2017-02-17 16:33:38,175  proxy added
INFO  2017-02-17 16:33:43,885  page 3
INFO  2017-02-17 16:33:43,887  proxy added
INFO  2017-02-17 16:33:49,340  page 4
INFO  2017-02-17 16:33:49,342  proxy added
INFO  2017-02-17 16:33:55,056  page 5
INFO  2017-02-17 16:33:55,058  proxy added
INFO  2017-02-17 16:34:11,919  proxy added
